datetime,n_provinces,solar_mean,solar_sd,precip_mean,precip_sd,t2m_mean,t2m_sd,w10_mean,w10_sd,w100_mean,w100_sd,Province
2023-01-01T16:00:00Z,10,11.994027054557133,0.9066783049019388,0,0,13.291939605601128,0.5048178312844883,1.2630281176191418,0.35751761413148686,1.4304119941114528,0.41730245442342245,South Italy
2023-01-01T17:00:00Z,5,0,0,0,0,12.219055175781273,1.2648258773511192,0.9659248520697445,0.31082776592117867,1.1646191994832114,0.28327350408863367,Calabria
2023-01-01T17:00:00Z,10,0,0,0,0,11.402009538923014,0.6418807704904732,1.2128546362907433,0.3268722294606152,1.6096415974903897,0.3674510906370373,South Italy
2023-01-01T18:00:00Z,5,0,0,0,0,11.106022135416689,1.561728058744443,0.9616120808699752,0.3070413539539901,1.0959704024889934,0.31242322658869087,Calabria
2023-01-01T18:00:00Z,10,0,0,0,0,10.173960108495043,0.6753149065328005,1.1644843004124015,0.3129495881605141,1.6249125827211386,0.40847066855349,South Italy
2023-01-01T19:00:00Z,5,0,0,0,0,10.54353434244794,1.6030656870203954,0.9998108648733314,0.3729790455356793,1.0995901529192706,0.401356851611511,Calabria
2023-01-01T19:00:00Z,10,0,0,0,0,9.611082338885096,0.7820258889647,1.1477182294769528,0.32432730441358276,1.541426777509074,0.4077649982371732,South Italy
2023-01-01T20:00:00Z,5,0,0,0,0,9.988049316406272,1.685597643693777,1.0665358096363406,0.45241700796339623,1.135401227813091,0.4464266741718988,Calabria
2023-01-01T20:00:00Z,10,0,0,0,0,8.864870940826775,0.8944531329412319,1.0450505526934535,0.32718194650383225,1.4113645475854744,0.3804055413778985,South Italy
2023-01-01T21:00:00Z,5,0,0,0,0,9.839156087239607,1.6479761088783111,1.1507201187047857,0.4896081529554307,1.2210581867897048,0.5710722811810394,Calabria
2023-01-01T21:00:00Z,10,0,0,0,0,8.465311681726499,0.9512783706647173,0.9312385308965402,0.34954334790899494,1.304749517813506,0.31760005386330264,South Italy
2023-01-01T22:00:00Z,5,0,0,0,0,9.888875325520855,1.5929311175501417,1.276002296857714,0.5861222027911929,1.5912167464749025,0.7200460672176457,Calabria
2023-01-01T22:00:00Z,10,0,0,0,0,8.218109300774119,1.0189665834179227,0.9210759427930377,0.36611675293951174,1.2221295524887819,0.30992668239975235,South Italy
2023-01-01T23:00:00Z,5,0,0,1.6977234433094658e-8,4.1585561604690754e-8,9.601977539062522,1.6637219236261458,1.212134604069469,0.5580327183992267,1.5022725083033515,0.6971589127228703,Calabria
2023-01-01T23:00:00Z,10,0,0,3.629413965557303e-5,4.895666199980137e-5,7.926030148237202,1.0693075351998957,0.8706310578404847,0.34995510239259,1.10754689933397,0.3058618671941335,South Italy
2023-01-02T00:00:00Z,5,0,0,5.561256936440865e-5,3.810222040617415e-5,9.254443359375022,1.72717382022139,1.1664082348805473,0.5147564714852699,1.4470244035856528,0.6371054739926982,Calabria
2023-01-02T00:00:00Z,10,0,0,3.3176814516385395e-4,1.9647535489611672e-4,7.438603582696623,1.1068966307646944,0.8801322305847314,0.33519517436066987,1.1690553847480851,0.290420670147871,South Italy
